"","Date","Month","Year","n_hours","site","precip","sd","season"
"115","2020-10","Oct","2020",744,"rio_doce",200.969,5.023,"dry"
"116","2020-10","Oct","2020",744,"sooretama",169.437,5.214,"dry"
"117","2020-11","Nov","2020",720,"rio_doce",136.424,3.005,"wet"
"118","2020-11","Nov","2020",720,"sooretama",106.21,8.603,"wet"
"119","2020-12","Dec","2020",744,"rio_doce",246.26,6.868,"wet"
"120","2020-12","Dec","2020",744,"sooretama",92.54,9.113,"wet"
"121","2021-01","Jan","2021",744,"rio_doce",133.888,5.512,"wet"
"122","2021-01","Jan","2021",744,"sooretama",51.901,3.094,"wet"
"123","2021-02","Feb","2021",672,"rio_doce",340.847,5.325,"wet"
"124","2021-02","Feb","2021",672,"sooretama",241.45,5.523,"wet"
"125","2021-03","Mar","2021",744,"rio_doce",85.884,1.958,"wet"
"126","2021-03","Mar","2021",744,"sooretama",109.95,3.967,"wet"
"127","2021-04","Apr","2021",720,"rio_doce",39.003,0.785,"dry"
"128","2021-04","Apr","2021",720,"sooretama",51.893,0.68,"dry"
"129","2021-05","May","2021",744,"rio_doce",7.476,0.371,"dry"
"130","2021-05","May","2021",744,"sooretama",25.145,0.934,"dry"
"131","2021-06","Jun","2021",720,"rio_doce",14.187,0.381,"dry"
"132","2021-06","Jun","2021",720,"sooretama",20.049,1.336,"dry"
"133","2021-07","Jul","2021",744,"rio_doce",0.676,0.032,"dry"
"134","2021-07","Jul","2021",744,"sooretama",7.988,0.435,"dry"
"135","2021-08","Aug","2021",744,"rio_doce",3.998,0.735,"dry"
"136","2021-08","Aug","2021",744,"sooretama",37.994,3.398,"dry"
"137","2021-09","Sep","2021",720,"rio_doce",2.749,0.497,"dry"
"138","2021-09","Sep","2021",720,"sooretama",25.259,0.953,"dry"
