"","date","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA","EVI_hectareID_NA"
"180",2021-06-14,0.622926,0.356769,0.284014,0.264495,0.395001,0.284781
"181",2021-06-19,0.116964,0.099834,0.12374,0.094929,0.149845,0.17469
"182",2021-06-24,0.38202,0.025361,0.568701,0.099788,0.763935,0.616045
"183",2021-06-29,0.305124,0.256463,0.316991,0.272096,0.332728,0.301894
"184",2021-07-04,0.538472,0.442457,0.477832,0.512012,0.481663,0.524832
"185",2021-07-09,0.502947,0.451292,0.488637,0.520248,0.481684,0.524082
"186",2021-07-14,0.606027,0.175245,0.195213,-0.361591,0.215056,-0.082818
"187",2021-07-19,0.532296,0.516092,0.530393,0.545404,0.513097,0.251408
"188",2021-07-24,-0.064167,0.210168,0.223877,0.296321,-0.149911,-0.284624
"189",2021-07-29,0.476694,0.439119,0.471294,0.50458,0.466335,0.511228
"190",2021-08-03,0.513527,0.635697,0.443774,0.480106,0.814699,0.457589
"191",2021-08-08,0.20604,0.298227,0.44836,0.330567,0.255793,0.281556
"192",2021-08-13,-0.172524,-0.204765,-0.359636,-0.614708,-0.603288,0.215698
"193",2021-08-18,0.176149,0.261849,0.292042,0.547299,0.139417,-0.261838
"194",2021-08-23,-0.30128,0.40674,1.287359,0.258555,0.57098,0.229132
"195",2021-08-28,0.577464,0.58075,0.645555,0.447307,0.31943,0.318936
"196",2021-09-02,0.552695,0.350639,0.519809,0.317303,0.114807,0.135995
"197",2021-09-07,0.420251,0.692956,0.401665,0.434467,0.605696,0.269617
"198",2021-09-12,0.562686,0.211821,0.475938,0.292135,0.493435,0.621913
"199",2021-09-17,0.123681,0.589289,0.392691,0.600528,0.408653,0.399317
"200",2021-09-22,1.168283,-0.80775,0.782185,1.218832,-0.59442,-0.446199
"201",2021-09-27,0.711955,0.284022,0.068977,0.163442,0.279222,0.490003
"202",2021-10-02,0.599232,0.556901,0.308865,0.566083,0.316434,0.270625
"203",2021-10-07,0.664303,0.28561,0.698877,1.060754,0.55554,0.690386
"204",2021-10-12,0.056816,0.054566,0.072891,0.035759,0.144616,0.076985
"205",2021-10-17,0.413633,0.451871,0.599335,0.610436,0.258663,0.406598
"206",2021-10-22,0.824543,0.341339,0.204911,0.586256,0.600209,0.494659
"207",2021-10-27,0.342004,0.626821,0.613558,0.452444,0.510044,0.178871
"208",2021-11-01,1.247031,0.764379,0.438033,0.646131,0.533358,0.864502
"209",2021-11-06,0.383488,0.352215,0.310642,0.537851,-0.382903,0.613226
"210",2021-11-11,1.030727,0.441844,0.620275,0.581298,0.320693,0.415138
"211",2021-11-16,0.164382,0.09745,0.047066,0.044269,0.129141,0.093026
"212",2021-11-21,-0.062748,-0.155856,-0.206573,-0.164661,-0.096255,-0.079354
"213",2021-11-26,0.686457,-0.441102,0.260547,0.702214,0.229408,-1.580107
"214",2021-12-01,0.632067,0.066515,-1.65171,0.520802,-0.930099,-1.92366
"215",2021-12-06,0.424566,0.348617,0.644473,0.453728,0.110246,0.151568
"216",2021-12-11,0.497488,0.527767,0.583317,0.361362,0.601177,0.54825
"217",2021-12-16,0.610676,0.268071,0.644904,0.689857,1.018081,0.172797
"218",2021-12-21,0.317726,-0.177618,0.759041,0.705599,-0.875702,0.570349
"219",2021-12-26,0.30285,0.358352,0.469656,0.365038,0.204403,0.233085
"220",2021-12-31,0.641785,0.404827,0.08141,-0.025947,0.63515,0.603944
