"","date","VH_hectareID_11","VH_hectareID_12","VH_hectareID_13","VH_hectareID_2","VH_hectareID_6"
"69",2017-04-22,-13.264484,-14.047051,-13.396794,-13.49039,-13.91282
"70",2017-05-04,-12.16229,-13.267673,-13.427124,-13.163819,-13.108811
"71",2017-05-16,-13.227825,-12.651616,-13.776359,-12.958499,-13.636405
"72",2017-05-28,-12.419097,-12.898085,-12.937171,-13.688316,-13.297641
"73",2017-06-09,-13.270634,-12.29773,-13.443023,-12.795076,-12.957565
"74",2017-06-21,-13.32381,-13.224655,-13.732712,-13.596137,-13.065089
"75",2017-07-03,-12.442713,-13.15043,-13.709617,-13.431092,-12.987857
"76",2017-07-15,-12.2726,-12.356214,-12.834005,-12.829118,-11.575572
"77",2017-07-27,-12.431628,-12.95788,-14.275072,-13.272049,-12.927113
"78",2017-08-08,-12.991878,-13.540727,-14.126905,-13.203411,-13.573892
