system:index,bottom,id,left,mean_doubl,right,top,.geo
00000000000000000025,-19.78142499600007,54923,-42.509146993,8.6943,-42.50825099300001,-19.78052899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.50914540521075,-19.78142393713147],[-42.50824913547063,-19.78142394655105],[-42.50824913547063,-19.780527710878975],[-42.50914540521076,-19.780527710492738],[-42.50914540521075,-19.78142393713147]]]}"
00000000000000000033,-19.69272099600007,56280,-42.505562993,7.9856,-42.504666993,-19.69182499600007,"{""type"":""Polygon"",""coordinates"":[[[-42.505564801309866,-19.692719029907526],[-42.50466847012255,-19.69271906700007],[-42.504668470122546,-19.69182280346147],[-42.505564801309866,-19.691822775409765],[-42.505564801309866,-19.692719029907526]]]}"
00000000000000000052,-19.527856996000068,29160,-42.571866993,5.8317,-42.570970993,-19.526960996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.57186713810792,-19.527857196194883],[-42.57097089906759,-19.527857139970912],[-42.57097089906759,-19.52696088510473],[-42.57186713810792,-19.526960877631],[-42.57186713810792,-19.527857196194883]]]}"
00000000000000000039,-19.737520996000068,15926,-42.605018993,2.7195,-42.60412299300001,-19.736624996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.60502056879166,-19.737519636534472],[-42.60412430312447,-19.73751963519525],[-42.60412430312448,-19.736623349647154],[-42.605020568791666,-19.73662336005189],[-42.60502056879166,-19.737519636534472]]]}"
0000000000000000002c,-19.526064996000066,32070,-42.564698993,5.1006,-42.563802993,-19.52516899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.564696943249814,-19.526064620806327],[-42.56380506821346,-19.52606465330878],[-42.56380506821346,-19.52516833231536],[-42.564696943249814,-19.525168308840808],[-42.564696943249814,-19.526064620806327]]]}"
00000000000000000001,-19.57982499600007,47054,-42.527962993,10.552,-42.527066993000005,-19.57892899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.527962842602086,-19.579823557855978],[-42.52706659654262,-19.579823501553093],[-42.52706659654262,-19.57892727332268],[-42.527962842602086,-19.57892726585931],[-42.527962842602086,-19.579823557855978]]]}"
00000000000000000005,-19.75185699600007,47246,-42.527962993,3.9736,-42.527066993000005,-19.750960996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.527962842602086,-19.75185563377465],[-42.52706659654262,-19.751855638826306],[-42.52706659654262,-19.750959400522323],[-42.52796284260209,-19.750959404511782],[-42.527962842602086,-19.75185563377465]]]}"
0000000000000000000c,-19.62462499600007,47104,-42.527962993,8.2684,-42.527066993000005,-19.623728996000068,"{""type"":""Polygon"",""coordinates"":[[[-42.527962842602086,-19.62462410749632],[-42.52706659654262,-19.62462413962846],[-42.52706659654262,-19.623727827235122],[-42.527962842602086,-19.623727876990344],[-42.527962842602086,-19.62462410749632]]]}"
00000000000000000013,-19.75902499600007,18862,-42.597850993,1.08,-42.59695499300001,-19.758128996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.59785030950481,-19.759025874049836],[-42.596954069641335,-19.759025922799797],[-42.59695406964134,-19.75812963770725],[-42.59785030950481,-19.758129598018773],[-42.59785030950481,-19.759025874049836]]]}"
0000000000000000001e,-19.800240996000067,33832,-42.561114993,6.5864,-42.56021899300001,-19.79934499600007,"{""type"":""Polygon"",""coordinates"":[[[-42.561116262342615,-19.800241364681593],[-42.56021998779793,-19.800241393908102],[-42.56021998779793,-19.799345109591318],[-42.561116262342615,-19.799345089412334],[-42.561116262342615,-19.800241364681593]]]}"
