system:index,bottom,id,left,mean_slope,right,top,.geo
00000000000000000040,-19.04564798800001,25862,-40.134858092,3.063,-40.13396209200001,-19.04475198800001,"{""type"":""Polygon"",""coordinates"":[[[-40.13485693632078,-19.045649964035608],[-40.13396066402747,-19.045649989282644],[-40.13396066402746,-19.044753687326402],[-40.13485693632078,-19.04475374507921],[-40.13485693632078,-19.045649964035608]]]}"
0000000000000000000f,-18.93902398800001,9489,-40.211914092,10.168,-40.211018092,-18.93812798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.21191465137847,-18.939024001511495],[-40.21101836667656,-18.939023999242785],[-40.21101836667656,-18.9381277139736],[-40.211914651378464,-18.93812772469302],[-40.21191465137847,-18.939024001511495]]]}"
00000000000000000021,-19.008911988000012,14103,-40.190410092,4.664,-40.189514092,-19.00801598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.190408442596464,-19.008911484488014],[-40.189512146124706,-19.008911466761898],[-40.189512146124706,-19.0080151561842],[-40.19040844259647,-19.008015182349595],[-40.190408442596464,-19.008911484488014]]]}"
0000000000000000003c,-19.008911988000012,24498,-40.141130092000004,1.666,-40.14023409200001,-19.00801598800001,"{""type"":""Polygon"",""coordinates"":[[[-40.14113093455315,-19.00891144071187],[-40.14023460016284,-19.00891142762533],[-40.14023460016284,-19.008015175263697],[-40.14113093455315,-19.00801519677569],[-40.14113093455315,-19.00891144071187]]]}"
00000000000000000079,-19.04385598800001,63093,-39.958346092,8.836,-39.957450092,-19.04295998800001,"{""type"":""Polygon"",""coordinates"":[[[-39.95834786377389,-19.043857429705145],[-39.95745161740563,-19.043857415768155],[-39.95745161740563,-19.042961184042245],[-39.95834786377389,-19.04296113163401],[-39.95834786377389,-19.043857429705145]]]}"
0000000000000000005a,-19.007119988000014,39049,-40.072138092,10.737,-40.071242092000006,-19.00622398800001,"{""type"":""Polygon"",""coordinates"":[[[-40.07213969591249,-19.007118931244015],[-40.07124342243627,-19.00711889526479],[-40.07124342243627,-19.006222598676164],[-40.07213969591249,-19.006222643061637],[-40.07213969591249,-19.007118931244015]]]}"
00000000000000000073,-19.007119988000014,55870,-39.992394092000005,4.07,-39.99149809200001,-19.00622398800001,"{""type"":""Polygon"",""coordinates"":[[[-39.99239309220915,-19.007118882363372],[-39.991496881770935,-19.00711887743613],[-39.991496881770935,-19.00622258034972],[-39.992393092209156,-19.00622259366069],[-39.99239309220915,-19.007118882363372]]]}"
0000000000000000002b,-19.04206398800001,17164,-40.176074092,6.627,-40.175178092,-19.04116798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.17607240410217,-19.042064866845234],[-40.17517612611874,-19.042064853738577],[-40.17517612611875,-19.04116858004437],[-40.17607240410217,-19.041168601583113],[-40.17607240410217,-19.042064866845234]]]}"
00000000000000000034,-19.04206398800001,20755,-40.159050092,4.02,-40.158154092,-19.04116798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.159052063349755,-19.042064898942606],[-40.1581557637642,-19.04206485826793],[-40.1581557637642,-19.041168573598725],[-40.159052063349755,-19.04116862270097],[-40.159052063349755,-19.042064898942606]]]}"
00000000000000000058,-19.04206398800001,38332,-40.075722092,2.98,-40.074826092,-19.04116798800001,"{""type"":""Polygon"",""coordinates"":[[[-40.07572035464629,-19.04206485425028],[-40.07482405649093,-19.042064892098367],[-40.07482405649093,-19.04116857086595],[-40.07572035464629,-19.04116861604718],[-40.07572035464629,-19.04206485425028]]]}"
